timestamp,trial,response_time,cursor_position,target_response,response
2024-02-17 15:33:42.569090,6,0.033891000028233975,157,u,u
2024-02-17 15:33:42.637676,6,0.03264230000786483,158,n,n
2024-02-17 15:33:43.185014,6,0.5138200999936089,159,e,e
2024-02-17 15:33:43.270760,6,0.06822459999239072,160,i,i
2024-02-17 15:33:43.448530,6,0.14623660000506788,161,space,space
2024-02-17 15:33:43.672776,6,0.2042463999823667,162,c,c
2024-02-17 15:33:43.848411,6,0.14615769998636097,163,a,o
2024-02-17 15:33:44.111543,6,0.2423807000159286,163,a,a
2024-02-17 15:33:44.196907,6,0.061309600016102195,164,n,n
2024-02-17 15:33:44.284636,6,0.04620230000000447,165,a,a
2024-02-17 15:33:44.382635,6,0.06316930003231391,166,d,n
2024-02-17 15:33:44.667439,6,0.24832090002018958,166,d,a
2024-02-17 15:33:45.152676,6,0.4665789999999106,166,d,d
2024-02-17 15:33:45.216127,6,0.04749780002748594,167,a,a
2024-02-17 15:33:45.312178,6,0.0560710999998264,168,space,space
2024-02-17 15:33:45.729200,6,0.39120159996673465,169,t,t
2024-02-17 15:33:45.777900,6,0.02558149996912107,170,o,o
2024-02-17 15:33:45.864423,6,0.060767399962060153,171,n,n
2024-02-17 15:33:45.937969,6,0.04955280001740903,172,g,g
2024-02-17 15:33:46.063008,6,0.09078149998094887,173,a,a
2024-02-17 15:33:46.161041,6,0.07536100002471358,174,space,space
2024-02-17 15:33:46.874540,6,0.6886712999548763,175,g,g
2024-02-17 15:33:47.011968,6,0.10957189998589456,176,e,e
2024-02-17 15:33:47.076298,6,0.040029100026004016,177,r,r
2024-02-17 15:33:47.178718,6,0.07321940001565963,178,m,m
2024-02-17 15:33:47.266828,6,0.0645543000428006,179,a,a
2024-02-17 15:33:47.367020,6,0.06466999999247491,180,n,n
2024-02-17 15:33:47.494907,6,0.08679269999265671,181,y,d
2024-02-17 15:33:47.674684,6,0.15604709996841848,181,y,space
2024-02-17 15:33:48.263962,6,0.5617709999787621,181,y,y
2024-02-17 15:33:48.426665,6,0.14018919999944046,182,space,space
2024-02-17 15:33:48.708122,6,0.2554666999494657,183,g,g
2024-02-17 15:33:48.833993,6,0.09744310000678524,184,e,e
2024-02-17 15:33:48.986652,6,0.13331190001918003,185,o,o
2024-02-17 15:33:49.127340,6,0.12436309998156503,186,r,r
2024-02-17 15:33:49.261620,6,0.1089893999742344,187,g,o
2024-02-17 15:33:49.399304,6,0.11280220001935959,187,g,g
2024-02-17 15:33:49.508648,6,0.08879599999636412,188,i,i
2024-02-17 15:33:50.058865,6,0.5219589000334963,189,a,a
2024-02-17 15:33:50.166487,6,0.08014460001140833,190,space,space
2024-02-17 15:33:50.494231,6,0.306678400025703,191,l,l
2024-02-17 15:33:50.664382,6,0.14500540000153705,192,u,u
2024-02-17 15:33:50.733793,6,0.04798279999522492,193,x,x
2024-02-17 15:33:50.918286,6,0.14697609998984262,194,e,e
2024-02-17 15:33:51.031154,6,0.09508250001817942,195,m,m
2024-02-17 15:33:51.306188,6,0.25214039999991655,196,b,b
2024-02-17 15:33:51.476880,6,0.14019280002685264,197,o,o
2024-02-17 15:33:51.668455,6,0.16489830001955852,198,u,u
2024-02-17 15:33:51.815048,6,0.1284373999806121,199,r,r
2024-02-17 15:33:52.010826,6,0.17399860004661605,200,g,g
2024-02-17 15:33:52.140253,6,0.10429889999795705,201,space,space
2024-02-17 15:33:52.548834,6,0.37824920000275597,202,a,a
2024-02-17 15:33:52.622855,6,0.05210069997701794,203,n,n
2024-02-17 15:33:52.722593,6,0.06725770002231002,204,d,d
2024-02-17 15:33:52.832585,6,0.07894719997420907,205,o,o
2024-02-17 15:33:53.010582,6,0.15783489996101707,206,r,r
2024-02-17 15:33:53.185878,6,0.14963800000259653,207,r,r
2024-02-17 15:33:53.304590,6,0.10017180000431836,208,a,a
2024-02-17 15:33:53.430664,6,0.10990909999236465,209,space,space
2024-02-17 15:33:53.910616,6,0.4567090999917127,210,p,p
2024-02-17 15:33:54.063187,6,0.1260504000238143,211,h,h
2024-02-17 15:33:54.180113,6,0.0937071000225842,212,i,i
2024-02-17 15:33:54.394166,6,0.19130040000891313,213,l,l
2024-02-17 15:33:54.538884,6,0.1188129999791272,214,i,l
2024-02-17 15:33:54.696005,6,0.12530670000705868,214,i,i
2024-02-17 15:33:55.443933,6,0.7233878999832086,215,p,p
2024-02-17 15:33:55.647622,6,0.17717440001433715,216,p,i
2024-02-17 15:33:55.924002,6,0.2530407000449486,216,p,p
2024-02-17 15:33:56.175659,6,0.22196550003718585,217,i,i
2024-02-17 15:33:56.336069,6,0.13201719999779016,218,n,n
2024-02-17 15:33:56.448291,6,0.09395879996009171,219,e,e
2024-02-17 15:33:56.616881,6,0.145163000037428,220,s,s
2024-02-17 15:33:56.704067,6,0.06654769997112453,221,space,space
2024-02-17 15:33:56.885238,6,0.14526379999006167,222,l,l
2024-02-17 15:33:57.129879,6,0.22536879999097437,223,i,i
2024-02-17 15:33:57.273355,6,0.11988939996808767,224,b,b
2024-02-17 15:33:57.556623,6,0.2524503999738954,225,y,y
2024-02-17 15:33:57.909213,6,0.3214223000104539,226,a,r
2024-02-17 15:33:58.011216,6,0.07320090004941449,226,a,a
2024-02-17 15:33:58.170216,6,0.13284069998189807,227,space,space
2024-02-17 15:33:58.449261,6,0.23945589998038486,228,m,m
2024-02-17 15:33:58.552557,6,0.08072149998042732,229,o,o
2024-02-17 15:33:58.661064,6,0.08964160003233701,230,z,z
2024-02-17 15:33:58.819428,6,0.13181669998448342,231,a,a
2024-02-17 15:33:58.934915,6,0.09817229997133836,232,m,m
2024-02-17 15:33:59.159740,6,0.20560670003760606,233,b,b
2024-02-17 15:33:59.281180,6,0.09352319996105507,234,i,i
2024-02-17 15:33:59.589509,6,0.28476980002596974,235,q,q
2024-02-17 15:33:59.691546,6,0.07037829997716472,236,u,u
2024-02-17 15:33:59.811024,6,0.08965989999705926,237,e,e
2024-02-17 15:33:59.935390,6,0.09773059998406097,238,space,space
2024-02-17 15:34:00.265241,6,0.3113993000006303,239,s,s
2024-02-17 15:34:00.451519,6,0.1639378999825567,240,w,w
2024-02-17 15:34:01.190237,6,0.7187737000058405,241,a,a
2024-02-17 15:34:01.462688,6,0.2578100999817252,242,z,z
2024-02-17 15:34:01.518933,6,0.03036540001630783,243,i,i
2024-02-17 15:34:01.922729,6,0.37958519998937845,244,l,l
2024-02-17 15:34:01.980524,6,0.042262100032530725,245,a,a
2024-02-17 15:34:02.094295,6,0.08881759998621419,246,n,n
2024-02-17 15:34:02.180865,6,0.05991660000290722,247,d,d
2024-02-17 15:34:03.038171,7,0.8310863999649882,0,c,c
2024-02-17 15:34:03.258300,7,0.20285970001714304,1,y,y
2024-02-17 15:34:03.393951,7,0.10536200000206009,2,p,p
2024-02-17 15:34:03.848492,7,0.42693830002099276,3,r,r
2024-02-17 15:34:03.937446,7,0.06559409998590127,4,u,u
2024-02-17 15:34:04.110192,7,0.13843739998992532,5,s,s
2024-02-17 15:34:04.246582,7,0.10809209995204583,6,space,s
2024-02-17 15:34:04.573600,7,0.29959760000929236,6,space,space
2024-02-17 15:34:04.695122,7,0.10686150001129135,7,g,g
2024-02-17 15:34:04.817382,7,0.09579009999288246,8,a,a
2024-02-17 15:34:04.931842,7,0.09330609999597073,9,m,m
2024-02-17 15:34:05.139206,7,0.18419609998818487,10,b,b
2024-02-17 15:34:05.270265,7,0.11532169999554753,11,i,i
2024-02-17 15:34:05.384606,7,0.09608809999190271,12,a,a
2024-02-17 15:34:05.494962,7,0.08902090002084151,13,space,space
2024-02-17 15:34:05.859902,7,0.3383950000279583,14,m,m
2024-02-17 15:34:05.943552,7,0.05413060000864789,15,a,a
2024-02-17 15:34:06.062281,7,0.08795079996343702,16,l,l
2024-02-17 15:34:06.134858,7,0.047053899965249,17,d,d
2024-02-17 15:34:06.260881,7,0.08503209997434169,18,i,i
2024-02-17 15:34:06.435425,7,0.14723180001601577,19,v,v
2024-02-17 15:34:06.617149,7,0.16110550001030788,20,e,e
2024-02-17 15:34:06.777672,7,0.13877359998878092,21,s,s
2024-02-17 15:34:06.889408,7,0.08262380002997816,22,space,space
2024-02-17 15:34:07.215417,7,0.30999049998354167,23,k,k
2024-02-17 15:34:07.332524,7,0.09357919998001307,24,i,i
2024-02-17 15:34:07.510742,7,0.1549702999764122,25,r,i
2024-02-17 15:34:07.651316,7,0.11251290002837777,25,r,t
2024-02-17 15:34:08.068520,7,0.3955829999758862,25,r,r
2024-02-17 15:34:08.168419,7,0.07937750004930422,26,i,i
2024-02-17 15:34:08.520496,7,0.328702200029511,27,b,b
2024-02-17 15:34:08.676570,7,0.1369593000272289,28,a,i
2024-02-17 15:34:08.750770,7,0.06107319996226579,28,a,a
